RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64360,50.25,0.0,10.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64360,50.25,0.0,10.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64360,50.25,0.0,9.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64360,50.25,0.0,8.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64360,50.25,0.0,8.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64360,50.25,0.0,7.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64360,50.25,0.0,7.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64360,50.25,0.0,6.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64360,50.25,0.0,6.0,,,2026,아파트,직거래,
2026,11710,송파구,11100,방이동,1,대지,0116,0021,(116-21),20260902,35000,28.56,16.0,2.0,,,2018,연립다세대,중개거래,서울 송파구
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64994,50.25,0.0,13.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64994,50.25,0.0,13.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64994,50.25,0.0,12.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64994,50.25,0.0,11.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64994,50.25,0.0,11.0,,,2026,아파트,직거래,
2026,11320,도봉구,10700,창동,1,대지,0347,0000,창동주공3단지(해등마을),20260902,74000,49.94,0.0,3.0,,,1990,아파트,중개거래,서울 도봉구
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64994,50.25,0.0,12.0,,,2026,아파트,직거래,
2026,11320,도봉구,10700,창동,1,대지,0373,0000,창동주공4단지,20260902,46000,41.3,0.0,3.0,,,1991,아파트,중개거래,서울 도봉구
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,63492,52.66,0.0,11.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64821,52.66,0.0,11.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,63492,52.66,0.0,12.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64821,52.66,0.0,12.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,63492,52.66,0.0,13.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64821,52.66,0.0,13.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,62859,52.66,0.0,6.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64157,52.66,0.0,6.0,,,2026,아파트,직거래,
2026,11380,은평구,10600,대조동,1,대지,0179,0016,북한산포레스트,20260902,19000,19.08,0.0,3.0,,,2021,아파트,중개거래,서울 은평구
